,symptom,question,isCorrectQ
973,Головная боль в заушной области,"Подскажите, отмечаете ли у себя вы боль в заушной области?",1
974,Головная боль в заушной области,"Хорошо, в таком случае кружиться ли у вас голова?",0
975,Головная боль в заушной области,"Подскажите, болит ли у вас заушная область?",1
976,Головная боль в заушной области,Нет ли у вас боли в области заушной области?,1
977,Головная боль в заушной области,"Хорошо, в таком случае болит ли у вас заушная область?",1
978,Головная боль в заушной области,"Подскажите, жалуетесь ли вы на головную боль в заушной области?",1
979,Головная боль в заушной области,"Подскажите, беспокоит ли вас боль в заушной области?",1
980,Головная боль в заушной области,"Подскажите, жалуетесь ли вы на заушную боль?",1
981,Головная боль в заушной области,"Подскажите, жалуетесь ли вы на головную боль заушной области?",1
982,Головная боль в лобной области,Беспокоит ли вас боль в лобной области?,1
983,Головная боль в лобной области,Часто ли у вас болит лоб?,1
984,Головная боль в одной половине головы,"Подскажите, беспокоит ли вас головная боль в одной половине головы?",1
985,Головная боль в одной половине головы,"Подскажите, болит ли у вас одна половина головы?",1
986,Головная боль в одной половине головы,"Подскажите, жалуетесь ли вы на головную боль в одной половине головы?",1
987,Головная боль в одной половине головы,"Понятно, а есть ли у вас боли",0
988,Головная боль в одной половине головы,"Подскажите, отмечаете ли вы у себя головную боль в одной половине головы?",1
989,Головная боль в одной половине головы,Вы жалуетесь на боль в одной половине головы?,1
990,Головная боль в одной половине головы,"Подскажите, бывает ли у вас головная боль в одной половине головы?",1
991,Головная боль в одной половине головы,"Подскажите, вас беспокоит головная боль в одной половине головы?",1
992,Головная боль в одной половине головы,"Сможете ли вы сказать, что у вас болит одна половина головы?",1
993,Головная боль в одной половине головы,"Подскажите, отмечаете ли вы у себя боль в одной половине головы? ",1
994,Головная боль в одной половине головы,У вас болит одна половина головы?,1
995,Головная боль в теменной области,"Подскажите, жалуетесь ли вы на головную боль в теменной области?",1
996,Головная боль в теменной области,Есть ли у вас боль в теменной области?,1
997,Головная боль в теменной области,Отмечаете ли у себя головную боль в теменной области?,1
998,Головная боль в теменной области,"Подскажите, беспокоит ли вас головная боль в теменной области?",1
999,Головная боль в теменной области,"Подскажите, отмечаете ли вы у себя головную боль в теменной области?",1
1000,Головная боль в теменной области,Вас беспокоит головная боль в теменной области?,1
1001,Головная боль в теменной области,Беспокоит ли вас головная боль в теменной области?,1
1002,"Головная боль, провоцируемая физической нагрузкой","Подскажите, болит ли у вас голова?",0
1003,"Головная боль, провоцируемая физической нагрузкой","Подскажите, бывает ли у вас головная боль, провоцируемая физической нагрузкой?",1
1004,"Головная боль, провоцируемая физической нагрузкой","Вас беспокоит головная боль, провоцируемая физическими нагрузками?",1
1005,"Головная боль, провоцируемая физической нагрузкой","Подскажите, отмечаете ли вы у себя головную боль, провоцируемую физической нагрузкой?",1
1006,"Головная боль, провоцируемая физической нагрузкой","Подскажите, бывает ли у вас головная боль, спровоцированная физической нагрузкой?",1
1007,"Головная боль, провоцируемая физической нагрузкой","Подскажите, возникает ли у вас головная боль, провоцируемая физической нагрузкой?",1
1008,"Головная боль, провоцируемая физической нагрузкой","Возникает ли у вас головная боль, провоцируемая физической нагрузкой?",1
1009,"Головная боль, провоцируемая физической нагрузкой","Подскажите, беспокоит ли вас головная боль, провоцируемая нагрузкой?",1
1010,"Головная боль, провоцируемая физической нагрузкой","Вас беспокоит головная боль, провоцируемая физической нагрузкой?",1
1011,"Головная боль, провоцируемая физической нагрузкой",Есть ли у вас боль в голове?,0
1012,"Головная боль, провоцируемая холодом","Подскажите, отмечаете ли вы у себя головную боль, провоцируемую холодом?",1
1013,"Головная боль, провоцируемая холодом",Беспокоит ли вас кашель?,0
1014,"Головная боль, провоцируемая холодом","Подскажите, возникает ли у вас головная боль, провоцируемая холодом?",1
1015,"Головная боль, провоцируемая холодом","Подскажите, возникает ли у вас боль в глазу, провоцируемая холодом?",1
1016,"Головная боль, провоцируемая холодом",У вас болит голова?,0
1017,"Головная боль, провоцируемая холодом","Вас беспокоит головная боль, провоцируемая холодом?",1
1018,"Головная боль, провоцируемая холодом","Подскажите, жалуетесь ли вы на головную боль, провоцируемую холодом?",1
1019,"Головная боль, провоцируемая холодом","Есть ли у вас головная боль, провоцируемая холодом?",1
1020,"Головная боль, провоцируемая холодом",Вас беспокоит боль в голове?,0
1021,"Головная боль, провоцируемая холодом","Подскажите, беспокоит ли вас головная боль, провоцируемая холодом?",1
1022,Головокружение,"Подскажите, бывает ли у вас головокружение?",1
1023,Головокружение,Кружится ли у вас голова?,1
1024,Головокружение,Есть ли у вас кашель?,0
1025,Головокружение,Беспокоит ли вас головокружение?,1
1026,Головокружение,У вас когда-нибудь кружило голову?,0
1027,Головокружение,Беспокоит ли вас ощущение головокружения?,1
1028,Давящая боль в грудной клетке,Вас беспокоит давящая боль в грудной клетке?,1
1029,Давящая боль в грудной клетке,Бывает ли у вас давящая боль в грудной клетке?,1
1030,Давящая боль в грудной клетке,Вас беспокоит давящая боль в области груди?,1
1031,Давящая боль в грудной клетке,Возникает ли у вас давящая боль в грудной клетке?,1
1032,Давящая боль в грудной клетке,"Подскажите, случается ли у вас давящая боль в грудной клетке?",1
1033,Давящая боль в грудной клетке,Вас беспокоит боль в грудной клетке?,1
1034,Давящая боль в грудной клетке,Есть ли у вас давящая боль в грудной клетке?,1
1035,Давящая боль в грудной клетке,Возникает ли у вас боль в области груди?,1
1036,Двоение в глазах,"Подскажите, случаются ли у вас двоение в глазах?",1
1037,Двоение в глазах,Двоится в глазах?,0
1038,Двоение в глазах,Бывает ли у вас двоение в глазах?,1
1039,Двоение в глазах,Вас беспокоит двоение в глазах?,1
1040,Двоение в глазах,"Подскажите, у вас двоится в глазах?",1
1041,Двоение в глазах,Двоение в глазах  бывает ли у вас?,0
1042,Двоение в глазах,"Подскажите, отмечаете ли вы у себя двоение в глазах?",1
1043,Двоение в глазах,У вас двоится в глазах?,1
1044,Дезориентация,"Подскажите, страдаете ли вы от дезориентации?",1
1045,Дезориентация,Беспокоит ли вас ощущение потери равновесия?,1
1046,Дезориентация,Возникают ли у вас эпизоды головокружения?,1
1047,Дезориентация,Вас беспокоит слабость в руке или ноге с одной стороны?,1
1048,Дезориентация,Есть ли у вас нарушения равновесия?,1
1049,Дезориентация,"Расскажите, жалуетесь ли вы на дезориентацию?",1
1050,Дезориентация,Вас беспокоит нестабильность походки?,1
1051,Дезориентация,"Подскажите, нарушен ли у вас процесс ориентации?",0
1052,Дезориентация,Беспокоит ли вас спутанность сознания?,1
1053,Дезориентация,Вы не можете определить свое местонахождение? ,0
1054,Дезориентация,"Могу ли я уточнить, есть ли у вас дезориентация?",0
1055,Дезориентация,"Подскажите, отмечаете ли вы у себя дезориентацию?",1
1056,Дезориентация,"Подскажите, беспокоит ли вас дезориентация?",1
1057,Депрессия,"Подскажите, жалуетесь ли вы на депрессию?",1
1058,Депрессия,"Подскажите, есть ли у вас депрессия?",1
1059,Депрессия,Есть ли у вас депрессия?,1
1060,Депрессия,"Подскажите, бывает ли у вас депрессия?",1
1061,Депрессия,"Подскажите, отмечаете ли вы у себя депрессию?",1
1062,Депрессия,"Скажите, бывают ли у вас депрессии?",1
1063,Депрессия,Это нормально?,0
1064,Диарея,"Подскажите, бывают ли у вас эпизоды диареи?",1
1065,Диарея,"Подскажите, отмечаете ли вы у себя жидкий стул?",1
1066,Диарея,"Подскажите, бывают ли у вас жидкие испражнения?",0
1067,Диарея,Часто ли у вас возникает понос?,1
1068,Диарея,"Подскажите, отмечаете ли вы у себя диарею?",1
1069,Диарея,"Расскажите, отмечаете ли вы у себя жидкий стул?",1
1070,Диарея,"Подскажите, бывает ли у вас понос?",1
1071,Диарея,Часто ли у вас возникает диарея?,1
1072,Дрожание,"Подскажите, случается ли у вас тремор?",1
1073,Дрожание,Часто ли вас беспокоит тремор?,1
1074,Дрожание,Нет ли у вас тремора?,1
1075,Дрожание,Беспокоит ли вас дрожь?,1
1076,Дрожание,Часто ли у вас возникает тремор?,1
1077,Дрожание,Часто ли у вас дрожат руки?,1
1078,Дрожание,"Расскажите, есть ли у вас дрожание?",1
1079,Дрожание,"Подскажите, есть ли у вас тремор?",1
1080,Дрожание,Дрожат ли у вас руки?,1
1081,Дрожание,Часто ли у вас наблюдается тремор?,1
1082,Дрожание в области рта,Часто ли вас беспокоит дрожание в области рта?,1
1083,Дрожание в области рта,"Можете ли вы сказать, что у вас дрожит рот?",1
1084,Дрожание в области рта,Вас беспокоит тремор?,0
1085,Дрожание в области рта,Беспокоит ли вас тремор в полости рта?,0
1086,Дрожание в области рта,Есть ли у вас тремор?,0
1087,Дрожание в области рта,Вас беспокоит тремор в полости рта?,0
1088,Дрожание в области рта,Нет ли у вас тремора в области рта?,1
1089,Дрожание в области рта,Вы замечаете у себя тремор в области рта?,1
1090,Дрожание в области рта,Есть ли у вас дрожание в области рта?,1
1091,Дрожание в области рта,"Можете ли вы сказать, что у вас трясется голова?",1
1092,Дрожание в области рта,Бывает ли у вас тремор в полости рта?,0
1093,Дрожание головы,Бывает ли у вас тремор головы?,1
1094,Дрожание головы,Есть ли у вас тремор головы?,1
1095,Дрожание головы,Дрожат ли у вас волосы?,0
1096,Дрожание головы,Беспокоит ли вас тремор головы?,1
1097,Дрожание головы,Возникают ли у вас эпизоды тремора головы?,1
1098,Дрожание головы,Часто ли у вас беспокоит тремор головы?,1
1099,Дрожание конечностей,Часто ли вас беспокоит дрожание конечностей?,1
1100,Дрожание конечностей,Есть ли у вас тремор конечностей?,1
1101,Дрожание конечностей,Беспокоит ли вас тремор конечностей?,1
1102,Дрожание конечностей,Бывает ли у вас тремор конечностей?,1
1103,Дрожание конечностей,Беспокоят ли вас эпизоды тремора рук?,1
1104,Дрожание конечностей,Часто ли у вас возникает тремор конечностей?,1
1105,Дрожание конечностей,"Можете ли вы рассказать, отмечаете ли у себя тремор конечностей?",1
1106,Дрожание конечностей,Возникают ли у вас подергивания в конечностях?,1
1107,Дрожание конечностей,"Расскажите, случается ли у вас тремор конечностей?",1
1108,Дрожание конечностей,Часто ли вас беспокоит тремор конечностей?,1
1109,Дрожание пальцев,Дрожат ли у вас пальцы?,1
1110,Дрожание пальцев,Есть ли у вас тремор пальцев рук?,1
1111,Дрожание пальцев,Беспокоит ли вас тремор пальцев рук?,1
1112,Дрожание пальцев,Дрожат ли ваши пальцы?,1
1113,Дрожание пальцев,Не беспокоил ли вас тремор пальцев рук?,1
1114,Дрожание пальцев,Не беспокоит ли вас тремор пальцев?,1
1115,Дрожание пальцев,Дрожат ли ваши пальцы рук?,1
1116,Дрожание пальцев,Часто ли у вас тремор пальцев?,1
1117,Дрожание пальцев,Дрожат ли у вас пальцы рук?,1
1118,Дрожание пальцев,Вы чувствуете тремор пальцев рук?,1
1119,Дрожание пальцев,Бывает ли у вас тремор пальцев рук?,1
1120,Дрожание пальцев,Беспокоит ли вас тремор пальцев?,1
1121,Дрожание пальцев,Вас беспокоит дрожание пальцев?,1
1122,Дрожание рук,Беспокоит ли вас тремор рук?,1
1123,Дрожание рук,Вас беспокоит дрожание рук?,1
1124,Дрожание рук,Есть ли у вас тремор рук?,1
1125,Дрожание рук,Бывает ли у вас тремор рук?,1
1126,Дрожание рук,Кажутся ли вам руки слишком дрожащими?,1
1127,Дрожание рук,Часто ли вас беспокоит дрожание рук?,1
1128,Дрожание языка,Наблюдается ли у вас тремор языка?,1
1129,Дрожание языка,Вам приходилось дрожать  языком?,0
1130,Дрожание языка,"Можете ли вы сказать, что у вас дрожание языка ?",1
1131,Дрожание языка,Вас беспокоит тремор языка?,1
1132,Дрожание языка,Возникают ли у вас эпизоды тремора языка?,1
1133,Дрожание языка,Вас беспокоит дрожание языка?,1
1134,Дрожание языка,"Расскажите, беспокоит ли вас тремор языка?",1
1135,Дрожание языка,Беспокоит ли вас тремор языка?,1
1136,Дрожание языка,Болит ли у вас горло?,0
1137,Дрожание языка,Бывает ли у вас тремор языка?,1
1138,Дрожание языка,Есть ли у вас тремор языка?,1
1139,Дрожание языка,"Расскажите, беспокоит ли вас дрожание языка?",1
1140,Дрожание языка,Часто ли вас беспокоит дрожание языка?,1
1141,Жалящие боли,Вас жалят жалящие боли?,0
1142,Жалящие боли,Бывает ли у вас жалящая боль?,1
1143,Жалящие боли,Бывают ли у вас жалящие боли?,1
1144,Жалящие боли,Можете ли вы жаловаться на жалящие боли?,0
1145,Жалящие боли,Есть ли у вас жалящие боли?,1
1146,Жалящие боли,"Подскажите, жалуетесь ли вы на жалящие боли?",1
1147,Жалящие боли,Вас беспокоят жалящие боли?,1
1148,Жалящие боли,А жалящие боли есть?,0
1149,Жалящие боли,Часто ли у вас возникают жалящие боли?,1
1150,Жалящие боли,Вы жалуетесь на жалящие боли?,1
1151,Жгучая боль в грудной клетке,Бывает ли у вас жгучая боль в грудной клетке?,1
1152,Жгучая боль в грудной клетке,Вас беспокоит жгучая боль в грудной клетке?,1
1153,Жгучая боль в грудной клетке,Вас беспокоит жжение в грудной клетке?,1
1154,Жгучая боль в грудной клетке,Вас беспокоит жжение или дискомфорт в области сердца?,1
1155,Жгучая боль в грудной клетке,Вам знакома жгучая боль в грудной клетке?,1
1156,Жгучие боли,"Можете ли вы сказать, есть ли у вас жжение в грудной клетке?",1
1157,Жгучие боли,"Подскажите, бывают ли у вас жгучие боли?",1
1158,Жгучие боли,Есть ли у вас жгучая боль?,1
1159,Жгучие боли,Вас беспокоит жгучая боль в животе?,1
1160,Жгучие боли,Есть ли у вас жжение в грудной клетке?,1
1161,Жгучие боли,Бывает ли у вас жжение в грудной клетке?,1
1162,Жгучие боли,Вы страдаете от жгущих болей?,0
1163,Жгучие боли,Есть ли у вас жжение в середине менструального цикла?,0
1164,Жгучие боли,Вы когда-нибудь жаловались на жгучие боли?,1
1165,Жгучие боли,Снятся ли вам жгучие боли?,0
1166,Жгучие боли,Вас беспокоит жгучая боль?,1
1167,Жгучие боли,"Жгучая боль  ,  вы страдаете от жгучей боли?",0
1168,Желтушность кожи или слизистых,От желтушности кожи или слизистых вас беспокоят пятна или изменение цвета кожи или слизистых?,0
1169,Желтушность кожи или слизистых,Вас беспокоит желтушность кожи или слизистых?,1
1170,Желтушность кожи или слизистых,Вы замечаете у себя желтушность кожи или слизистых?,1
1171,Желтушность кожи или слизистых,"Подскажите, есть ли у вас желтушность кожи или слизистых?",1
1172,Желтушность кожи или слизистых,Есть ли у вас желтушность кожи или слизистых?,1
1173,Желтушность кожи или слизистых,"Подскажите, отмечаете ли вы у себя желтушность кожи или слизистых?",1
1174,Желтушность кожи или слизистых,"Подскажите, у вас есть желтушность кожи или слизистых?",1
1175,Жжение,Бывает ли у вас жжение в пальцах рук?,0
1176,Жжение,Часто ли у вас возникает жжение где-нибудь?,1
1177,Жжение,"Подскажите, бывает ли у вас жжение?",1
1178,Жжение,Бывает ли у вас жжение?,1
1179,Жжение,"Подскажите, есть ли у вас жжение?",1
1180,Жжение,Есть ли у вас ощущение жжения где-нибудь?,1
1181,Жжение,Можно ли от вас ожидать жжения в горле?,0
1182,Жжение,Возникает ли у вас жжение?,1
1183,Жжение,Есть ли у вас жжение?,1
1184,Жжение,Есть ли у вас ощущение жжения?,1
1185,Жжение,Есть ли у вас жжение в глазах?,0
1186,Жжение,"Понятно, а возникает ли у вас жжение?",1
1187,Жжение,"Подскажите, беспокоит ли вас жжение?",1
1188,Жжение,Бывает ли у вас жжение в глазах?,0
1189,Жжение,Часто ли у вас возникает жжение?,1
1190,Жжение в глазах,Есть ли у вас жжение в глазах?,1
1191,Жжение в глазах,Часто ли у вас возникает жжение в глазах?,1
1192,Жжение в глазах,Бывает ли у вас жжение в глазах?,1
1193,Жжение в глазах,Часто ли вас беспокоит жжение в глазах?,1
1194,Жжение в деснах,Бывает ли у вас жжение в деснах?,1
1195,Жжение в деснах,Вы жалуетесь на жжение в деснах?,1
1196,Жжение в деснах,"Ещё вопрос, возникает ли у вас жжение в деснах?",1
1197,Жжение в деснах,Часто ли у вас возникает жжение в деснах?,1
1198,Жжение в деснах,"Могу ли я уточнить, отмечаете ли вы у себя жжение в деснах?",1
1199,Жжение в деснах,"Подскажите, случается ли у вас жжение в деснах?",1
1200,Жжение в деснах,"Можете ли вы сказать, что у вас есть жжение в деснах?",1
1201,Жжение в деснах,Есть ли у вас ощущение жжения в деснах?,1
1202,Жжение в деснах,Есть ли у вас жжение в деснах?,1
1203,Жжение в ногах,Вас беспокоит жжение в ногах?,1
1204,Жжение в ногах,Есть ли у вас жжение в ногах?,1
1205,Жжение в ногах,Беспокоит ли вас жжение в ногах?,1
1206,Жжение в ногах,"Опишите, отмечаете ли вы у себя жжение в ногах?",1
1207,Жжение в ногах,"Ещё вопрос, возникает ли у вас жжение в ногах?",1
1208,Жжение в ногах,Есть ли у вас ощущение жара в конечностях?,1
1209,Жжение в ногах,Часто ли вас беспокоит жжение в ногах?,1
1210,Жжение в ногах,"Могу ли я уточнить, возникает ли у вас жжение в ногах?",1
1211,Жжение в ногах,"Подскажите, беспокоит ли вас жжение в ногах?",1
1212,Жжение в носу,Бывает ли у вас жжение в носу?,1
1213,Жжение в носу,"Расскажите, есть ли у вас жжение в носу?",1
1214,Жжение в носу,Вас беспокоит жжение в носу?,1
1215,Жжение в носу,"Напишите, беспокоит ли вас жжение в носу?",1
1216,Жжение в носу,Есть ли у вас жжение в носу?,1
1217,Жжение в носу,Часто ли вас беспокоит жжение в носу?,1
1218,Жжение в носу,Вас беспокоит першение в носу?,1
1219,Жжение в области грудной клетки,Бывает ли у вас жжение в области грудной клетки?,1
1220,Жжение в области грудной клетки,Вас беспокоит першение в горле?,0
1221,Жжение в области грудной клетки,Бывает ли у вас жжение в области груди?,1
1222,Жжение в области грудной клетки,Есть ли у вас жжение в области грудной клетки?,1
1223,Жжение в области грудной клетки,"Ещё вопрос, возникает ли у вас жжение в области грудной клетки?",1
1224,Жжение в области грудной клетки,"Подскажите, бывает ли у вас жжение в области грудной клетки?",1
1225,Жжение в области живота,Вы ощущали когда-нибудь жжение в области живота?,1
1226,Жжение в области живота,Вас беспокоит жжение в животе?,1
1227,Жжение в области живота,Бывает ли у вас жжение в области живота?,1
1228,Жжение в области живота,Бывает ли у вас жжение в животе?,1
1229,Жжение в области живота,Вас беспокоят боли в области живота?,1
1230,Жжение в области живота,Часто ли у вас возникает жжение в животе?,1
1231,Жжение в области живота,Есть ли у вас жжение в области живота?,1
1232,Жжение в области живота,Вас беспокоит ощущение жжения в области живота?,1
1233,Жжение в области живота,"Подскажите, бывает ли у вас жжение в области живота?",1
1234,Жжение в области живота,Вас беспокоит жжение в области живота?,1
1235,Жжение в области живота,Есть ли у вас ощущение жжения в области живота?,1
1236,Жжение в области живота,Есть ли у вас кашель?,0
1237,Жжение в промежности,"Могу ли я уточнить, возникает ли у вас жжение в промежности?",1
1238,Жжение в промежности,Есть ли у вас жжение в промежности?,1
1239,Жжение в промежности,Вас беспокоит жжение в промежности?,1
1240,Жжение в промежности,Бывает ли у вас жжение в промежности?,1
1241,Жжение в промежности,Часто ли у вас возникает жжение в промежности?,1
1242,Жжение в промежности,Не отмечаете ли вы у себя жжение в промежности?,1
1243,Жжение в промежности,"Подскажите, бывает ли у вас жжение в промежности?",1
1244,Жжение в промежности,Часто ли вас беспокоит жжение в промежности?,1
1245,Жжение в руках,Бывает ли у вас жжение в руках?,1
1246,Жжение в руках,Испытываете ли вы жжение в руках?,1
1247,Жжение в руках,Часто ли у вас возникает жжение в руках?,1
1248,Жжение в руках,Часто ли вас беспокоит жжение в руках?,1
1249,Жжение в руках,Есть ли у вас жжение в руках?,1
1250,Жжение в руках,"Жжение в руках, есть ли у вас такое?",0
1251,Жжение в руках,Часто ли у вас наблюдается жжение в руках?,1
1252,Жжение в суставах,Часто ли вас беспокоит жжение в суставах?,1
1253,Жжение в суставах,Бывает ли у вас жжение в суставах?,1
1254,Жжение в суставах,"Опишите, бывает ли у вас жжение в суставах?",1
1255,Жжение в суставах,Есть ли у вас жжение в суставах?,1
1256,Жжение в суставах,"Можете ли вы сказать, что у вас жжение в суставах?",1
1257,Жжение в суставах,Вы жалуетесь на жжение в суставах?,1
1258,Жжение в суставах,Вас беспокоит жжение в суставах?,1
1259,Жжение в ушах,Вас беспокоит жжение в ушах?,1
1260,Жжение в ушах,Есть ли у вас жжение в ушах?,1
1261,Жжение в ушах,Вас беспокоит першение в горле?,0
1262,Жжение в ушах,Часто ли вас беспокоит жжение в ушах?,1
1263,Жжение в ушах,Бывает ли у вас жжение в ушах?,1
1264,Жжение в ушах,Возникает ли у вас жжение в ушах?,1
1265,Жжение в ушах,"Подскажите, бывает ли у вас жжение в ушах?",1
1266,Жжение в ушах,"Могу ли я уточнить, бывает ли у вас жжение в ушах?",1
1267,Жжение в ушах,Часто ли у вас возникает жжение в ушах?,1
1268,Жжение во рту,Бывает ли у вас жжение во рту?,1
1269,Жжение во рту,Вас беспокоит першение в горле?,1
1270,Жжение во рту,Вас беспокоит жжение во рту?,1
1271,Жжение во рту,Есть ли у вас жжение во рту?,1
1272,Жжение во рту,Есть ли у вас жжение или дискомфорт в полости рта?,1
1273,Жжение во рту,Бывают ли вас жжения во рту?,1
1274,Жжение во рту,"Подскажите, отмечаете ли вы у себя жжение во рту?",1
1275,Жжение губ,Вы заметили жжение губ?,1
1276,Жжение губ,"Подскажите, бывают ли у вас жжение губ?",1
1277,Жжение губ,Есть ли у вас жжение губ?,1
1278,Жжение губ,Бывает ли у вас жжение губ?,1
1279,Жжение губ,Часто ли у вас жжение губ?,0
1280,Жжение губ,Бывало ли у вас жжение губ?,1
1281,Жжение губ,Наблюдается ли у вас жжение губ?,1
1282,Жжение губ,Часто ли вас беспокоит жжение губ?,1
1283,Жжение губ,"Подскажите, бывает ли у вас жжение губ?",1
1284,Жжение или дискомфорт в горле,Есть ли у вас жжение или дискомфорт в горле?,1
1285,Жжение или дискомфорт в горле,Часто ли вас беспокоит першение в горле?,1
1286,Жжение или дискомфорт в горле,Вас беспокоит першение в горле?,1
1287,Жжение или дискомфорт в горле,"Подскажите, отмечаете ли вы у себя жжение или дискомфорт в горле?",1
1288,Жжение кожи волосистой части головы,"Могу ли я уточнить, отмечаете ли вы у себя жжение кожи волосистой части головы?",1
1289,Жжение кожи волосистой части головы,Есть ли у вас жжение кожи волосистой части головы?,1
1290,Жжение кожи волосистой части головы,"Подскажите, беспокоит ли вас жжение кожи волосистой части головы?",1
1291,Жжение кожи волосистой части головы,Есть ли у вас ощущение жжения волосистой части головы?,1
1292,Жжение кожи волосистой части головы,"Понятно, а бывает ли у вас жжение кожи волосистой части головы?",1
1293,Жжение кожи волосистой части головы,Бывает ли у вас жжение кожи волосистой части головы?,1
1294,Жжение лица,Бывает ли у вас жжение лица?,1
1295,Жжение лица,Есть ли у вас жжение лица?,1
1296,Жжение лица,Вас беспокоит жжение лица?,1
1297,Жжение лица,Отмечаете ли вы у себя жжение лица?,1
1298,Жжение лица,"Можете ли вы сказать, что у вас жжение лица?",1
1299,Жжение лица,Есть ли у вас жжение в какой либо области лица?,1
1300,Жжение лица,Есть ли у вас ощущение жжения лица?,1
1301,Жжение лица,Вас беспокоит жжение или дискомфорт в области лица?,1
1302,Жжение лица,"Подскажите, жалуетесь ли вы на жжение лица?",1
1303,Жжение при мочеиспускании,"Могу ли я уточнить, возникает ли у вас жжение или дискомфорт при мочеиспускании?",1
1304,Жжение при мочеиспускании,Часто ли у вас возникает жжение при мочеиспускании?,1
1305,Жжение при мочеиспускании,Часто ли вас беспокоит жжение при мочеиспускании?,1
1306,Жжение при мочеиспускании,"Можете ли вы сказать, что у вас бывает жжение при мочеиспускании?",1
1307,Жжение при мочеиспускании,"Могу ли я уточнить, возникает ли у вас жжение при мочеиспускании?",1
1308,Жжение при мочеиспускании,Вас беспокоит жжение при мочеиспускании?,1
1309,Жжение при мочеиспускании,Вас беспокоит першение в горле?,0
1310,Жжение при мочеиспускании,Есть ли у вас жжение при мочеиспускании?,1
1311,Жжение при мочеиспускании,Бывает ли у вас жжение при мочеиспускании?,1
1312,Жжение при мочеиспускании,Возникали ли у вас жжение или дискомфорт внизу живота?,1
1313,Жжение при мочеиспускании,Бывает ли у вас жжение?,1
1314,Жжение при мочеиспускании,Вы жалуетесь на жжение при мочеиспускании?,1
1315,Задержка мочеиспускания,"Подскажите, жалуетесь ли вы на задержку мочеиспускания?",1
1316,Задержка мочеиспускания,Отмечаете ли вы у себя задержку мочеиспускания?,1
1317,Задержка мочеиспускания,"Подскажите, отмечаете ли вы у себя задержку мочеиспускания?",1
1318,Задержка мочеиспускания,Беспокоят ли вас эпизоды нарушения мочеиспускания?,1
1319,Задержка мочеиспускания,Есть ли у вас задержки мочеиспускания?,1
1320,Задержка мочеиспускания,Есть ли у вас затруднения при мочеиспускании?,1
1321,Задержка мочеиспускания,"Подскажите, отмечаете ли вы у себя затруднения при мочеиспускании?",1
1322,Задержка мочеиспускания,Вас беспокоит задержка мочеиспускания?,1
1323,Задержка мочеиспускания,Нет ли у вас задержки мочеиспускания?,1
1324,Задержка мочеиспускания,"Подскажите, беспокоят ли вас нарушения мочеиспускания?",1
1325,Задержка мочеиспускания,"Подскажите, отмечаете ли вы у себя затруднение мочеиспускания?",1
1326,Заикание,"Подскажите, беспокоят ли вас заикание?",1
1327,Заикание,"Подскажите, случается ли у вас заикание?",1
1328,Заикание,"Подскажите, беспокоит ли вас заикание?",1
1329,Заикание,"Подскажите, есть ли у вас заикание?",1
1330,Заикание,Это  у  вас  заикание?,1
1331,Заикание,"Подскажите, бывает ли у вас заикание?",1
1332,Заикание,Не замечали ли вы за собой заикание?,1
1333,Заикание,Часто ли у вас возникает заикание?,1
1334,Заикание,Что вас беспокоит?,0
1335,Заикание,Вас беспокоит хрипота или заикание?,0
1336,Заикание,"Вы знаете, у меня заикание?",1
1337,Заикание,"Подскажите, бывают ли у вас заикание?",1
1338,Заикание,"Подскажите, у вас заикание?",1
1339,Заикание,"Когда меня беспокоят приступы заикания, могу ли я уточнить, случаются ли они у вас?",0
1340,Заложенность носа,Нет ли у вас заложенности носа?,1
1341,Заложенность носа,"Подскажите, беспокоит ли вас заложенность носа?",1
1342,Заложенность носа,Есть ли у вас заложенность носа?,1
1343,Заложенность носа,Можно ли у вас заложить нос?,0
1344,Заложенность носа,"Подскажите, бывает ли у вас заложенность носа?",1
1345,Заложенность носа,Бывает ли у вас заложенность носа?,1
1346,Заложенность носа,Вас беспокоит заложенность носа?,1
1347,Заложенность носа,У вас заложен нос?,1
1348,Заложенность носа,Часто ли у вас возникает заложенность носа?,1
1349,Заложенность носа,"Подскажите, отмечаете ли вы у себя заложенность носа?",1
